RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sutter County,CA,6,101,,,,,155549.314,194671.2322,237072.6319,232016.413,200951.1859,162488.2143,153494.1265,149495.58,143877.7643,155262.5018,192229.8253,212263.561,228237.8354,251600.2228,279076.6556,296175.7001,315935.1787,356373.8921,414320.67,422629.0157,424685.1314
Maury County,TN,47,119,111729.5719,114347.5352,115738.9259,119157.783,120584.598,126795.3803,133352.0176,142397.439,148421.7631,145007.3966,134370.5581,130121.1233,120687.5616,132644.5192,141276.3845,150699.5705,169082.9661,187732.1662,212456.6171,227398.7514,243787.5456,271152.9949,348791.2376,379636.0969,382885.5291
Cleveland County,NC,37,45,79287.11846,83646.14578,86681.35165,89189.69623,91952.65,96226.36827,102925.8701,109314.3118,103939.2122,101901.993,96730.58503,94459.87,91108.49467,88477.10034,86895.94737,89956.21119,96759.81168,100635.3609,105456.5104,113361.6873,127084.6406,149208.3649,168571.3532,184187.6714,191658.6971
Hunt County,TX,48,231,,,,,,,,,,109091.9397,105816.3968,103851.2669,101836.1742,104157.2639,110471.8509,119171.7042,130279.5281,145531.8695,167267.1053,183134.3442,197126.9158,218650.5697,269041.1486,291601.1659,285936.2363
Dubuque County,IA,19,61,,,,,,,,,,,150408.9082,151674.0705,152378.7662,153893.7279,155532.3758,156549.7294,161763.6866,166355.4646,171712.4244,177165.6164,188586.0016,201485.956,220761.9183,238179.1418,245288.7383
Moore County,NC,37,125,,,,,,,,,,223531.1283,208621.5163,204662.0457,199189.3225,196438.4918,197199.9309,203652.1589,209236.5304,217100.986,227865.315,237645.6983,249190.2493,280938.6334,337506.5595,385505.9777,401199.4847
Madison County,TN,47,113,110465.2034,113008.0089,113747.717,114495.3943,116630.0836,118940.9789,126051.4535,130098.4498,130251.641,124630.2042,123786.8356,114546.9223,108848.8271,110621.1001,112800.5698,113175.317,119119.3882,121308.2844,128031.8704,133866.75,148687.8321,161549.3182,198729.4686,214765.04,219513.2845
Floyd County,GA,13,115,82871.7831,88779.15,92793.3686,96308.92,99596.29986,103289.6012,105872.7947,106152.1705,106730.1909,103896.478,94818.09088,89925.15,83739.76137,92778.41681,101060.7303,101142.7154,109761.4685,109605.7909,117867.5119,131230.9777,144640.6571,162570.301,193702.9717,209224.7451,216651.1354
Story County,IA,19,169,,,,,,,,,,,164738.9436,165394.1318,165594.165,166809.0692,175816.3804,183094.182,196408.8446,203809.9016,213571.2937,218188.4964,223040.1971,236544.7143,259741.9219,276042.8616,288518.4072
Sevier County,TN,47,155,115608.0169,120670.2284,129924.9304,136751.4038,143298.0447,151667.05,162851.8143,178041.9925,182952.1416,176225.9741,162278.723,154770.5235,149383.2206,147279.1186,155787.1128,163540.3905,177511.58,191130.6755,206852.1593,223162.0287,252642.85,293308.368,390750.7133,420891.8675,421196.3487
Putnam County,NY,36,79,206245.7333,229922.7749,260490.4936,302007.1889,342488.7862,387027.04,424676.6417,425479.65,414888.6634,387308.7407,362957.06,352919.3726,315780.0251,301386.6435,306397.52,312795.4075,319539.0834,333528.7112,350368.4325,366210.4384,374851.6517,409076.1207,449756.9623,484409.0146,518546.829
Burleigh County,ND,38,15,,,,,,,,,,176300.5131,176223.1585,181353.4126,189976.98,223575.622,252291.8889,273717.8156,284273.8183,278148.4728,280139.6405,278101.8112,288637.9425,298512.2412,326112.0334,343132.0627,352706.1932
Grant County,WA,53,25,,,,,,,,,,185649.2579,170844.2925,163383.0022,157613.4115,160632.9309,161846.7028,161016.2219,174043.4377,177779.1044,190676.6252,211170.7742,232449.6564,267475.3337,328327.4989,345490.4889,351968.4313
Ashtabula County,OH,39,7,71237.62849,75090.30,77156.57944,79288.36289,83169.63398,88759.64,91825.26776,95121.71811,96277.85,94794.77,91748.2429,89970.60692,88648.64867,91072.67073,92936.353,92480.06497,91810.12029,95516.15064,99745.94032,105164.67,111342.1155,130153.2356,144942.7704,157861.03,162505.3207
Lafourche Parish,LA,22,57,,,,,,,,,,,,,160941.9019,159621.148,174085.6645,183530.2334,196639.9876,198292.8369,183848.2856,183769.9609,194387.5914,203179.6327,200345.904,180751.4969,174285.8863
Portsmouth City,VA,51,740,84083.86915,88105.46886,90669.87566,92967.4809,100988.6459,119068.5051,145839.808,167178.0474,177211.3312,173008.3025,164350.52,162111.9651,150353.0528,141156.7248,141332.0377,143320.8751,147658.7814,150413.1087,153842.7196,158993.13,172205.6064,187999.1829,213807.7966,228812.20,243824.8187
Marshall County,AL,1,95,,,,,,,,,,108052.1457,103517.202,103467.4166,98646.44391,111380.4511,116172.5994,119565.0397,123958.2519,127093.6119,130323.4799,136885.5866,150642.951,168052.7556,196177.4379,207822.9193,213137.9967
Fairbanks North Star Borough,AK,2,90,,,,,,,203637.8566,222618.2021,237618.121,231956.8715,228237.2509,230765.1367,229493.2969,229290.592,225742.4127,224837.5435,233653.0653,243422.5658,256688.9871,257733.7071,279866.1292,286705.6615,302464.0358,304379.5333,301024.3204
Dallas County,IA,19,49,,,,,,,,197513.8394,196439.7026,197887.4272,194828.8072,194319.0028,195658.8802,208605.876,221196.54,233139.5844,251523.4551,267461.7974,278071.5458,286716.84,296256.4829,311015.7107,347255.4068,371348.1511,373892.5383
Roanoke County,VA,51,161,,,,,,184430.8555,185657.8673,192061.7371,195418.4772,184637.5563,171187.5225,169182.7307,167397.6385,169407.993,171600.4791,174291.8363,177355.0409,181583.1478,187674.9903,192949.0373,208575.1532,235437.2514,258637.4231,285909.0835,301978.2604
Sherburne County,MN,27,141,146562.1154,160287.6971,178761.931,193995.9125,210852.3799,228378.7163,246588.7721,252733.6818,234972.8219,176236.9956,168779.2596,167161.6387,148550.6719,159425.103,181696.02,194125.2736,209446.5307,225933.3805,241600.7051,259384.4961,274856.3805,301591.1698,344700.203,360383.1402,369693.9235
Cape May County,NJ,34,9,157910.7517,175716.6179,200175.0129,234542.932,287149.6343,350969.5285,414175.4802,425744.282,398438.01,395287.3758,371037.1652,360248.85,342713.16,349227.4597,352079.5214,353463.7131,360849.911,366283.5971,378135.8012,392705.8378,415064.0986,477882.2995,586733.3987,625156.819,666670.2551
Walton County,GA,13,297,183776.7848,196692.8351,205524.94,212681.0917,218373.8921,228212.4079,234970.2,244537.2323,249429.0338,214726.0323,196447.9774,155660.1086,128270.7488,125320.7622,144019.5468,158489.1339,175271.6725,187359.249,200762.1343,219480.83,233194.3845,263137.488,328619.4601,355075.00,368411.8369
Geauga County,OH,39,55,184056.8651,192963.9265,200326.9132,205620.4011,211581.9158,215645.7841,229455.5623,231616.4904,217423.7804,215531.1038,207250.3611,204187.1958,199481.7508,207283.8726,216031.6066,219061.861,227092.937,231027.0056,243547.962,253506.2575,258764.8423,284796.9539,313183.827,336875.235,354348.3037
Franklin County,WA,53,21,138216.4331,144490.9234,151085.5305,156352.9421,155731.5644,158174.1298,206126.7277,201950.204,188935.3512,171084.7984,155906.0506,172074.5364,171784.6361,172553.5665,171610.6166,176443.99,187579.7737,206734.1126,230267.7744,252011.1667,277023.7399,312897.3186,372171.9398,392371.8286,404197.74
Bastrop County,TX,48,21,123190.1247,130899.9884,136471.0054,143040.5049,144927.7952,147406.0575,154654.714,152010.8683,156093.8612,156117.3512,152216.4588,149572.6871,148475.7064,149542.5854,157246.4271,173962.631,193410.5084,211578.34,227003.5463,240404.3027,249977.608,279619.1135,365152.0043,396865.1686,363804.8225
Benton County,OR,41,3,171767.2262,183873.6415,191958.8367,196395.5704,208896.247,220776.3052,246250.7701,281845.4608,301494.9493,282150.4076,273791.1811,264617.074,251862.3918,255013.3776,268029.6017,278073.0989,301074.927,322214.3571,345961.4224,368649.1808,387552.8907,421830.5699,486434.4469,517309.1346,536250.8591
Lancaster County,SC,45,57,146726.0242,156286.9512,162637.9912,166838.2642,172010.4093,171204.8652,174598.91,178346.4999,189804.9559,173131.2223,171689.6271,165467.2364,160584.3848,164280.5253,173059.4343,178477.4598,196224.7663,208122.4964,218177.8336,228321.6335,244482.7355,274068.8922,328778.8844,361694.1919,372788.8619
Rogers County,OK,40,131,117011.0138,122743.4178,130232.817,136218.2929,140405.7689,144171.8066,150364.3742,155768.6017,160325.7868,158729.1531,156469.6595,154333.8453,,144120.7885,147338.4902,151415.2344,157686.0454,164221.9862,170292.1905,175682.9709,183812.2375,203898.8252,232901.158,255849.0018,266190.14
Nash County,NC,37,127,,,,,,,,,,126232.6448,119411.3398,,110938.8179,110514.5742,109040.5611,111003.8429,115444.843,118178.2707,124723.6457,131866.5258,138911.8251,160290.6874,181777.9169,209645.7752,222008.3674
Cabell County,WV,54,11,,,,,,,,,,106585.6549,102047.2788,102526.03,101354.0342,101848.8126,100531.9718,100611.4126,106370.4019,104691.4201,108424.2854,112916.0526,113355.6809,125385.4075,131982.9831,138476.248,142426.3982
Grand Traverse County,MI,26,55,111359.1316,119483.3821,125584.5367,132443.4446,140879.4049,148712.6086,155080.5847,158587.9153,153843.8214,146983.5794,133854.8026,139661.2835,136087.3769,158549.5208,172367.4869,187026.1394,199137.3014,213950.6773,232686.6331,246074.0431,258620.9727,287937.03,340030.7172,374232.9466,400110.4775
Steuben County,NY,36,101,80369.35,82763.92351,89275.60888,89383.84,89405.73,92806.70374,101444.40,108352.7282,113501.349,108277.3834,99000.17134,95954.44398,95837.50206,98788.68255,100793.9004,101380.8166,103090.4578,104202.4466,108876.0259,113793.1197,118857.9205,131516.4555,141215.7766,155290.8557,159181.8647
Lauderdale County,AL,1,77,,,,,,,,,,,,107622.2597,105144.2393,113161.6269,123980.3187,123532.5594,127754.9748,130738.0138,134200.4805,135407.4961,144887.0924,161217.4989,183485.3775,199930.9732,207901.6198
Pottawattamie County,IA,19,155,,,,,,,,,109136.9463,108380.9486,106927.9897,106929.892,106979.6145,111080.4569,115943.3573,116296.544,124619.8482,128769.6826,135600.9636,141116.94,152422.8763,165392.1621,180316.2399,195842.4139,209917.4832
Suffolk City,VA,51,800,,,,,,199118.8269,230484.5358,243378.5547,241139.9757,,220432.4763,212521.0363,202554.6988,208339.876,211077.6242,213942.5626,222529.3966,228186.7031,237705.7179,242587.3492,251026.1233,277183.4277,309735.4743,333439.9138,351598.4455
Tuscarawas County,OH,39,157,112139.831,114912.2846,117986.8274,122354.9044,127087.0412,131261.6453,149132.4008,96250.55018,100681.4905,100044.7085,97673.65616,95842.00737,94915.11734,99323.92877,105181.9063,110567.4728,116828.4706,124173.7867,126502.7366,133010.8043,142362.9194,159578.6375,175392.4822,184008.7634,192053.0704
Rockdale County,GA,13,247,139418.2806,148722.7889,153536.3654,160698.0685,163953.1665,166336.0567,173794.671,180676.4214,176588.0975,142789.9862,116741.7375,106533.2015,96943.49586,97398.76021,118918.41,129893.1159,137675.2034,144447.2677,158367.341,178894.1759,187918.1994,216250.8542,271260.3751,307185.3477,310390.7744
Bowie County,TX,48,37,,,,,,,,,,105985.7585,104224.2857,103903.1584,105912.1467,107702.4145,112214.8488,117378.9864,121813.5276,123260.1982,126031.8024,133351.3917,141811.9374,153346.796,177047.1512,180707.5497,181762.6681
Campbell County,KY,21,37,125317.7462,130637.2928,135594.5234,141192.6487,148270.8087,155242.6621,160692.1579,164476.1962,168270.8089,159622.6195,153690.7354,152228.7377,136025.8342,139022.9072,143998.0702,145439.3057,155390.7018,166607.9108,173666.032,181655.1329,191349.9915,222742.7365,235101.857,254305.8798,254970.7541
Saint Croix County,WI,55,109,,,138532.6962,150051.0151,162120.0601,178255.1997,185337.6981,188594.1236,189429.3046,198103.40,189913.084,179440.2221,167063.4864,181448.3022,200708.6562,212724.6934,229461.1727,244908.56,261027.0315,276815.5022,292220.9089,325182.2112,366601.5685,383873.5219,393987.7038
Calvert County,MD,24,9,175432.7555,184995.7497,195717.1462,217215.5531,256604.9254,311265.6578,374371.2709,401798.9451,388663.2276,349037.0573,311342.5403,315535.74,291693.1211,310936.7177,319299.2281,321870.4954,329523.0396,336599.85,344220.2922,353073.5935,366064.8723,398209.7558,435714.5104,445722.9164,456002.32
Madison County,KY,21,151,106272.4593,110764.6549,115141.5297,119228.3406,124505.7273,132106.1656,143045.4997,148537.8362,147881.4168,145771.0834,141411.1111,143468.4176,142887.2868,138536.7757,136484.79,139919.1911,147827.701,155127.0691,167632.9236,171881.9233,181717.1562,202879.2765,223858.01,240908.6802,249770.3971
Northumberland County,PA,42,97,,,,,,,,,,97991.15729,96424.48,96170.76883,95656.7265,97669.97182,100556.6051,102108.89,107448.4107,106855.6976,108982.3388,113330.9974,123497.1265,135334.4707,139755.12,137905.9822,136157.0412
Mendocino County,CA,6,45,,,,241028.3623,276907.6085,343541.7315,378640.2129,408466.2076,412286.9667,330036.5287,309168.9305,299984.0164,288337.4325,293144.0195,331530.4689,359860.8864,387214.9369,411527.3241,458249.0602,466826.1661,499069.7414,541105.9924,595486.1064,541292.7425,498488.7275
Wayne County,NY,36,117,103428.3146,104466.5276,116333.2121,108902.8094,112488.127,114962.9711,122865.7224,126186.1998,128099.7,115032.8841,116070.0629,117213.6551,112576.3086,111106.835,113292.1639,115125.0258,120313.6709,124770.486,129674.0506,135353.4758,144648.4734,164715.3719,176075.4223,193921.0088,211815.1058
Victoria County,TX,48,469,,,,,,,,,,,,,,,,,,149530.2665,146193.8666,152494.9776,162367.3539,172259.0831,192757.75,207463.5569,210518.3658
Grafton County,NH,33,9,104093.8941,115313.4515,127170.5407,141308.0791,158625.338,189768.5045,206694.9806,214962.7845,220014.8087,210937.6008,195294.2015,191525.5261,187107.3904,187641.28,190502.8445,193119.4853,199795.5944,204152.623,213516.5028,223983.5286,235151.9178,272004.2823,324592.1515,367125.86,397711.3849
Ozaukee County,WI,55,89,,,,,,302971.6996,302983.4099,310182.6096,309138.8258,298111.2359,285534.3091,277611.6583,256050.1429,259921.6212,275397.2216,282628.8981,296136.4562,310495.8545,321961.5268,336289.5176,351577.4168,377099.1574,408748.0254,430904.6684,444085.6625
Rockingham County,NC,37,157,,92144.22865,96247.83199,99638.3547,102101.8876,106712.59,110860.1931,115918.8053,115594.1425,113463.4935,107477.0904,104470.6034,101205.3798,100766.4109,104236.8974,104092.4274,110690.2211,111621.5411,116604.3751,125168.20,136062.5051,154429.9566,168058.6693,173668.4203,179364.2394
Saint Clair County,AL,1,115,,,,,,,,,,167649.5757,159534.1221,153961.8478,150234.0121,155066.8602,159999.0067,164753.5501,171680.9562,178099.0495,183760.5805,190945.3641,204660.0049,224712.8148,258144.1407,275185.5598,272611.8606
Frederick County,VA,51,69,,,,,201019.3563,251840.9625,316348.6055,323730.83,288826.0822,242814.8691,209900.0433,211778.7164,206822.0556,207816.0406,222709.2222,230140.7417,241706.1728,250810.6733,263117.6662,270769.0388,285910.9215,313873.0712,360777.7923,379536.9437,394823.21
Liberty County,TX,48,291,,,,,,,,,,,,,111798.9545,111996.4713,116785.4475,132123.7125,143886.1283,155941.0497,169238.7607,175463.4319,185951.5995,200210.0044,226364.2651,234114.6649,236214.2419
Dodge County,WI,55,27,,,,,,,,156885.0972,156057.4826,152072.8738,145281.3702,141378.0287,137406.16,142205.2237,146288.8948,152858.2109,159013.8332,165533.2164,173463.104,184445.0895,196783.3838,219217.5168,241996.55,255399.5031,271937.5246
Twin Falls County,ID,16,83,,,,,,,138012.636,154080.2769,157082.488,152763.0274,137264.1263,126329.099,122488.6978,133365.6192,142110.6257,148803.6031,159044.0314,172028.7637,186347.6848,203634.5582,224663.4884,263392.438,348302.6475,357198.4008,353423.6379
Lapeer County,MI,26,87,,,,,,,,,142287.2917,130153.1609,116356.9471,110462.1035,107225.8089,112256.324,129497.283,144580.3383,159829.0746,177827.5316,183434.0221,185220.4058,202890.5636,225377.7794,265732.4713,267084.3401,279003.5824
Nassau County,FL,12,89,127298.3356,146632.5814,162269.9243,172534.263,182121.4718,205253.9939,244505.5979,276762.0558,270042.3019,228694.7509,200775.7526,187197.4497,179941.1098,180940.9958,199209.3055,211017.04,226971.7461,237629.033,258366.3331,278805.8919,295792.8442,326134.0613,396996.6847,452236.8659,455416.5055
Burke County,NC,37,23,,,,,,,,,,,,,,,,,,121381.1259,128968.6687,137585.3478,149576.9472,175565.64,192887.2002,219912.3894,233282.6669
Christian County,MO,29,43,,,,,,,,,,,142378,138411.1979,133844.0574,140722.0796,149132.8264,151283.1634,158280.6451,167422.1156,177350.5028,187253.7131,200342.4919,216757.6835,262889.28,288616.7321,293101.5988
Josephine County,OR,41,33,115712.4053,121114.0019,128933.9471,136198.3192,147353.1836,177743.969,226145.3444,234633.8577,219271.3884,219049.96,196488.8416,182479.9117,172504.386,177048.7622,196648.9932,209528.0775,227099.2073,250032.7214,274717.0845,291362.5421,301897.3451,340240.3214,396642.2504,397560.4796,395128.3402
Elmore County,AL,1,51,,,,,,,,,,,179855.2451,164319.4352,159223.3319,155927.9472,159194.152,165881.2907,168480.4248,170614.7961,174695.5812,178744.2987,187628.8858,202189.3869,227862.5732,243900.8281,252574.6218
Cullman County,AL,1,43,,99416.05,104437.7697,107172.6638,109037.9482,114317.8715,124137.0605,132264.7475,136040.6694,136101.8089,130921.4044,127264.0542,125505.0952,126070.5501,130344.6518,137851.1674,144834.27,153366.5727,155946.8563,160959.2665,174973.2729,189575.189,222487.2909,233408.0067,235008.0224
Dougherty County,GA,13,95,62835.46446,65979.08972,69093.45936,71243.54107,73413.06211,77249.87202,79058.98206,83921.498,86549.47364,83112.93835,77130.84888,73652.61311,69539.54367,68948.75818,66344.08111,63577.86201,65841.58,62512.45947,64527.17017,69205.56241,72351.10622,81591.05172,95622.71351,108849.1501,113569.2704
Angelina County,TX,48,5,81897.33137,86126.95997,88286.2958,91188.50731,92333.90161,96693.31279,97345.91462,102373.7356,106407.2974,105904.4009,106014.2324,105207.7773,106591.8967,107428.5568,109320.7401,114080.7229,115344.4166,119830.5983,121216.983,127875.0046,142799.0929,156121.4082,180542.7087,186583.3387,187912.1195
Bannock County,ID,16,5,,,,,,,,,,160199.6402,158108.9105,148377.5243,135354.0343,143534.4664,145630.7777,144718.3688,150362.057,158990.6482,166439.2101,186989.4931,212115.6767,245966.5476,316017.8511,327890.8416,338736.1909
Polk County,OR,41,53,150131.9746,154985.4405,162120.7049,167989.0013,173501.8182,189474.6402,205786.0698,235957.2879,248184.2267,229501.00,208890.7152,196669.293,188801.2834,188909.5358,198991.5712,212090.468,234541.4879,260531.666,286621.9633,311904.3218,327700.637,367661.7179,432130.2888,454264.4939,463138.1534
Muskingum County,OH,39,119,69357.23972,75568.46618,77955.41836,80793.93207,84063.34375,87358.85,91331.76535,94935.09368,97738.98965,94224.67391,91128.54696,89739.39,88434.3443,88244.91597,91819.36335,92560.99681,99026.37386,104282.347,110481.5234,117305.6332,125325.5184,141976.3424,156043.1722,168706.7881,182994.3794
Lawrence County,PA,42,73,,,,,,,93433.60238,95037.3529,96097.49152,92734.93029,87897.43031,86221.70,83886.34355,87598.86723,90241.30,90080.06,94685.82305,97332.84769,101028.125,105301.3372,109828.7171,123706.6019,134024.2692,145589.4538,151389.2894
Island County,WA,53,29,,,,,,,,329542.076,339825.8673,311972.0728,283676.6329,269441.4895,257824.5523,263817.942,276134.2455,289042.5724,319252.647,355096.0663,384852.9728,411717.6396,435866.5699,507007.0341,602622.2039,611993.7462,613820.6979
Lincoln County,NC,37,109,132881.1336,140305.1711,145960.5851,151307.2485,153504.708,159393.83,168174.9125,176295.6277,184486.4796,183647.4677,173655.1426,168502.6703,163646.12,168319.5836,175275.8845,179848.7548,190024.9898,200269.8761,215300.6094,230929.053,245274.9452,274123.8368,324724.1486,362885.2284,374653.9806
Buchanan County,MO,29,21,,,,,,,,,,,111768.4591,109902.6002,107343.0022,107596.8795,115227.5875,110420.6468,111005.2574,111136.0496,114524.5485,116067.999,124927.9991,136381.0066,150872.8276,156257.4733,159255.2915
Newport County,RI,44,5,183589.7379,203170.6275,233632.2064,279580.9959,343222.0925,392357.3261,426686.12,432678.6546,418407.7145,382051.2917,328820.5985,359664.2194,321687.5699,322768.4155,342799.0709,350243.3821,369050.1076,387975.1979,413942.54,439272.9893,453969.7352,507556.3475,597360.7287,660562.9806,704171.3887
Orange County,TX,48,361,,,,,,,,,,,126788.7163,125345.6661,125196.6789,123913.8743,124366.8309,128015.228,134561.0083,135990.9962,144946.4664,153957.3176,170876.5465,179566.3181,188106.9326,185195.6895,170908.066
Orangeburg County,SC,45,75,,,,,,86304.51816,90131.55479,97640.56,99009.01109,97774.50031,93359.54112,91078.26172,88348.82546,86300.86547,86265.95167,84613.66798,88135.47036,93151.17243,97413.09719,100620.0646,106886.4724,124043.6275,144682.7783,136191.791,141089.0066
Jefferson County,WI,55,55,,,,,,,175472.0839,183293.3958,182319.2527,177258.4738,169877.1521,165750.1077,161436.5695,166582.1954,173327.2497,181229.4082,187659.1164,197469.8157,210309.2307,221983.3063,238060.7581,261578.6405,289960.9926,304243.467,324650.9098
Wood County,WV,54,107,79378.75394,83369.71872,86029.16056,89197.69725,92375.10341,,101684.8917,103905.9024,105103.0812,105148.8601,102241.6666,103114.9298,102360.928,101184.1589,103132.2388,105502.3747,108811.6462,108033.866,111967.3968,116682.1163,122214.79,132518.142,142568.4958,154294.927,160885.3092
Crawford County,PA,42,39,57429.97223,62368.84407,66431.55377,70478.25,76560.53965,83459.5981,89420.7836,92024.2469,92357.96045,88125.29622,84675.35779,86138.10991,84931.73541,89701.15747,90462.44132,97967.78,100219.2412,103230.4824,110482.3211,111705.9033,118619.1513,133382.1648,145892.996,155750.8386,149512.7227
Chemung County,NY,36,15,59546.2144,61590.16856,65236.40845,,76339.06,82073.81089,84651.45509,87519.18366,88491.37274,89861.68,93522.20,93365.2026,97419.56539,99650.7401,101822.3881,98947.07,100176.3799,101635.0882,104056.8078,108792.3345,112603.939,122927.0596,134237.1716,144779.6924,149708.7499
Glynn County,GA,13,127,,,,,,,,,207492.3363,197024.1516,181345.3511,166142.1523,156630.3771,153064.8423,159727.9922,164299.2919,173540.4003,175413.3009,195931.2575,208516.2295,217901.89,237167.8459,275349.56,311143.0973,321829.3875
Cascade County,MT,30,13,,,,,,,,,169302.8838,169147.8016,160244.06,158479.6243,159019.8586,165135.6606,166675.9583,171863.8343,179007.4287,183477.4647,188739.5667,197735.0854,205763.3103,224465.5856,265628.0812,292557.2248,314771.0793
Indiana County,PA,42,63,,,,,,,,,,,93913.7845,95858.00284,95456.78,98040.00295,100768.2609,105190.1272,110543.7387,110667.1945,114805.5738,114197.2607,118350.127,129321.5758,133314.7263,142325.0551,148849.2674
Midland County,MI,26,111,106760.2817,111619.8304,116958.23,123521.1478,128441.1584,128617.4634,129523.4171,131979.0131,130075.0614,121637.2874,111674.2003,110839.7168,110516.4282,118428.7836,122481.4742,122308.7346,130630.4502,132061.2578,135944.6513,136282.3885,155023.0618,170259.5892,187145.5385,202514.6322,211456.8248
Lee County,MS,28,81,,,,,,,,,,,,,117909.5825,124145.883,124112.1356,126627.475,128767.2116,137312.4054,135994.8659,139575.4241,143343.7307,152824.3998,179079.0087,180650.5234,187410.4189
Howard County,IN,18,67,,,,,,,,,,83514.94328,80211.13227,77985.71298,75892.63393,78011.44759,81590.77927,84266.61,89740.45555,94485.09388,101426.9172,109401.5062,115225.4186,128184.9507,145130.9373,155277.2808,163443.3943
Rockingham County,VA,51,165,,,,,,,,,,,202772.5633,178654.9109,178689.9726,186042.9456,187207.1282,193640.8087,203518.3828,207746.2378,212922.6709,219539.5694,227507.4674,252841.0526,282759.1887,306490.80,325524.2716
Saint Landry Parish,LA,22,97,,,,,,,,,,111384.9751,110439.441,110710.4774,115735.322,123525.7107,117939.8862,124754.4723,139139.8239,129538.7552,132397.7889,132215.7724,139888.4633,136941.1281,139483.5453,137442.1924,130292.989
Monroe County,FL,12,87,,,,,,,,,,,,,,,,,,565207.3184,606857.7222,623194.6733,635833.803,711020.9771,897460.4169,1050758.599,1094995.82
Barrow County,GA,13,13,142881.5984,153553.39,161882.8075,166329.7832,168906.76,173552.161,180720.9311,185395.18,189108.7035,168837.2732,134920.3195,126574.76,102861.3405,98542.09,118789.4916,132856.4607,144453.4083,158893.68,172305.6981,188734.9149,201716.6172,228407.5682,288921.84,320252.1896,336555.3117
Talladega County,AL,1,121,,83599.74466,86897.02838,90808.22248,93609.11358,98554.23402,107752.5513,113434.8358,116089.4137,115178.9621,109201.13,104729.1905,103083.7531,101633.1752,97479.82741,101710.6693,102576.6283,107205.7752,113133.6142,117345.4628,128948.9974,150610.7139,172324.4671,173789.4779,178818.541
Payne County,OK,40,119,92677.44585,97036.0056,101165.7886,104468.6071,108214.4201,112589.414,118197.0342,126097.4542,129595.98,124006.3949,119276.3485,118463.051,118472.8948,124451.7711,127840.5143,134672.2046,140902.3969,144157.6562,149579.8761,155217.425,163719.268,176458.3902,195580.8141,206622.3123,214253.2558
Henderson County,TX,48,213,,,,,,,,,,141283.4944,139889.4322,138621.3289,137666.6481,137864.0451,140012.672,147055.2995,152067.2184,161385.3445,173038.246,186331.323,190572.5169,218553.7159,268443.1084,280076.9283,273333.5505
Bartholomew County,IN,18,5,,,182262.1778,179017.4989,183105.4755,187668.5084,173998.4639,136459.0549,137773.8331,136214.2267,132264.3952,130767.773,130275.1692,133283.3211,137864.3882,140657.9951,147101.2719,150855.1093,157096.5703,166805.797,179883.2642,194285.0821,220406.141,237066.7531,251606.6036
Bullitt County,KY,21,29,105457.0748,109425.9325,113502.7465,116626.3448,121486.0986,125515.3039,129939.7473,132443.3442,133352.2337,132653.877,129320.6871,127750.493,126728.754,130802.4874,134642.6871,144812.7433,155762.8581,165459.3388,175253.8237,188350.6963,202025.8985,223663.916,242695.2959,258214.2393,265751.3529
Coryell County,TX,48,99,,,,,,,,,,120687.49,118748.3554,117169.1109,116164.2721,115571.3395,111744.2587,112738.6828,117928.0035,122588.6423,128007.4254,135290.7287,146363.2602,165192.481,201890.6579,228161.0335,222738.9105
Leavenworth County,KS,20,103,,,,,,,,,,151338.5733,148747.6378,147430.5086,146013.2705,150453.7057,153263.45,159335.04,167390.9501,176893.9393,189531.5137,198217.4594,211095.2161,236981.9948,271690.0216,293150.5507,307406.4736
Lewis County,WA,53,41,,,,,,,,,,189672.1632,174882.6544,166282.7207,155608.6821,155743.47,159860.8774,166678.1845,180987.9757,198197.1896,222365.2629,248760.0357,280462.7381,332202.566,406310.7346,413375.5034,425722.6135
Manitowoc County,WI,55,71,102282.6964,107407.7649,112769.8411,117409.37,123563.7229,132600.5883,127834.1349,128249.6808,130078.8515,126240.7005,120760.5043,118207.6112,115110.5233,118180.8818,118913.7914,118561.2065,123853.4982,127386.6582,130262.5256,138646.0974,151896.5985,167642.4902,187613.1045,202292.1035,220076.4043
Cape Girardeau County,MO,29,31,,,,,,,,,,,142153.7576,140126.877,,132683.0857,133310.5374,137987.9025,144629.5033,150178.8043,154598.4868,159876.0679,164755.1956,180914.6416,202601.6501,214867.1314,222549.065
Caldwell County,NC,37,27,,,82626.44048,85131.66501,87285.98492,91028.43921,96797.76621,102394.6342,104201.2434,106488.1065,101505.6757,98331.71454,94843.54652,93828.33072,93470.77499,90400.46891,99701.71,107553.4246,114213.9596,125429.3379,136815.2679,159280.8145,176573.5469,202161.7239,212618.1871
Clearfield County,PA,42,33,55641.11414,61936.5617,65637.19814,68311.06191,71525.11847,78662.62986,88463.57695,91741.31611,92709.87413,91680.25231,90677.67299,89445.95163,89481.06675,91077.44742,91033.15462,92181.50171,98481.94102,102488.534,117194.7406,110175.206,116347.7808,127072.2781,135813.9803,130467.1742,122581.0423
